"OBJECTID","DISCOVERY_DOY","FIRE_YEAR","FIRE_DATE","SEASON","STAT_CAUSE","STAT_CAUSE_DESCR","STATE","FIRE_SIZE"
1134233,205,2005,2005-07-24,"Summer","Arson","Arson","CA",0.1
1127355,196,1994,1994-07-15,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.3
1131016,5,1996,1996-01-05,"Winter","Equipment Use","Equipment Use","CA",0.1
1112062,195,1998,1998-07-14,"Summer","Equipment Use","Equipment Use","CA",0.1
1088700,134,2008,2008-05-13,"Spring","Equipment Use","Equipment Use","CA",1
1480930,201,2011,2011-07-20,"Summer","Miscellaneous","Miscellaneous","CA",1
119206,239,1999,1999-08-27,"Summer","Lightning","Lightning","CA",17
1092794,185,2001,2001-07-04,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
1097073,145,2002,2002-05-25,"Spring","Miscellaneous","Miscellaneous","CA",0.1
215286,213,1999,1999-08-01,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1873050,200,2010,2010-07-19,"Summer","Equipment Use","Equipment Use","CA",0.1
314055,87,2000,2000-03-27,"Spring","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
1072635,287,1995,1995-10-14,"Fall","Equipment Use","Equipment Use","CA",25
1081324,257,1995,1995-09-14,"Summer","Equipment Use","Equipment Use","CA",0.1
1093635,172,1992,1992-06-20,"Spring","Miscellaneous","Miscellaneous","CA",15
317369,206,2007,2007-07-25,"Summer","Miscellaneous","Miscellaneous","CA",0.5
108019,248,1998,1998-09-05,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
312972,235,2006,2006-08-23,"Summer","Equipment Use","Equipment Use","CA",1
190865,264,1993,1993-09-21,"Summer","Arson","Arson","CA",0.3
1879662,143,2010,2010-05-23,"Spring","Arson","Arson","CA",0.1
1626943,213,2012,2012-07-31,"Summer","Miscellaneous","Miscellaneous","CA",6
1725582,137,2014,2014-05-17,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1108121,250,2009,2009-09-07,"Summer","Miscellaneous","Miscellaneous","CA",0.3
